domain,total_appearances,unique_days,first_seen,last_seen,avg_sentiment
silkr4lamkrcnuzm6ug3cufwjjmtfndvd4uqwqomecd7kyfyj3hx4xid.onion,74,8,2025-10-18,2025-10-27,0.19617162162162163
silkr4lawr2zanmaqfbcpdtmybjmk2m6lu3iv5iw7jyivyz2cgt2xgid.onion,80,8,2025-10-18,2025-10-27,0.19635
domarket52bh54tnrv6qkimyoxvd5hcf2lrnhpfomlxhgmpr6mxtgpad.onion,8,8,2025-10-18,2025-10-27,0.17570000000000002
zkpckszxe37pnv3eyxxzmqgm3ftllmizzr3fdx7b6rxsbvt3rn2rzwid.onion,80,8,2025-10-18,2025-10-27,0.04285
darknet2ls6yectoo7dw7g3nezenhxqvewspaaficvb6ic35wvfpwgyd.onion,40,8,2025-10-18,2025-10-27,0.13951
btbgr6ofqprxlo2bch7mmwwcfr6dqj7d54u4xitk6k3yq6qprv2zjmyd.onion,46,8,2025-10-18,2025-10-27,0.2804282608695652
darknet3kiz5zeujoe33ctnigb3ymspgdvkjki4pzpcghnlswaenyoyd.onion,21,8,2025-10-18,2025-10-27,0.1304857142857143
darknet2qsql2onz67zk5lo4wlid3sagjjwh4cstoluietkxoxezwxqd.onion,38,8,2025-10-18,2025-10-27,0.13979736842105264
amstermahojhd25m46m7iy5jxz7gnay67sq3py7uny2xkxxkjbcfa3id.onion,16,8,2025-10-18,2025-10-27,0.19495
darknet3daqquh57kbt7n6acg44njmynnaweankhuof7iky4y5omk6yd.onion,45,8,2025-10-18,2025-10-27,0.13765333333333335
chanelkk337yqaou4zrutxprrodvu6t7pburehryosyzczxmk4yzzsad.onion,14,8,2025-10-18,2025-10-27,0.25855
darknet3chuwtmn47cy75mobkmsiocbj7aepwn6lbcfktqg7nnlhatid.onion,48,8,2025-10-18,2025-10-27,0.13697708333333333
cjngmb3mnvj75r6mvqyce6s5swcffql3ychb3vcghnzm4c3ryok6read.onion,16,8,2025-10-18,2025-10-27,0.0784
darknet3cgeosepdrjizsqcicrgf7y3blry4buiola4dsffjvyezkbyd.onion,45,8,2025-10-18,2025-10-27,0.13581111111111113
67w4f46nfrfigohl4ypgpo7cjnftl57rorha3zmn4xkll5jvmi6mi4qd.onion,8,8,2025-10-18,2025-10-27,0.0307
cx2o2vkuqlqudwgw3zftpserxjmztykiclmd5lj37byt7cmikmjaocqd.onion,80,8,2025-10-18,2025-10-27,0.13368375
darknet2bv7u54eepf2sf44qaf6rkjqipujs6cf4msc2yucdoudl5eyd.onion,16,8,2025-10-18,2025-10-27,0.1589
darknet2xu65yendessgkf2vklf6nfezfsyab2qfemnmmv2vf2qgkjyd.onion,46,8,2025-10-18,2025-10-27,0.13404782608695653
darknet2xddqsb4nu5gmj73e3xmzzodz2gqg7txdmi6autbe3hkxdayd.onion,48,8,2025-10-18,2025-10-27,0.13201458333333335
